start_new_farm_desc,Click to start a new farm.,Yeni çiftlik başlatmak için tıklayın.,Klicke um einen neuen Hof zu starten.,"Нажмите, чтобы начать новую ферму.",Haga clic para iniciar una nueva granja.,Clique para iniciar uma nova fazenda.,Clicca per iniziare una nuova fattoria.,Cliquez pour démarrer une nouvelle ferme.,"Kliknij, aby rozpocząć nową farmę.",点击开始新的农场。,點擊開始新的農場。,,
progress_countdowns,Show progress countdowns:,İlerleme geri sayımlarını göster:,Zeige Fortschrittszeit:,Таймер действия:,Números en las barras de progreso:,Números nas barras de progresso:,Mostra il tempo di avanzamento:,Temps restant :,Pokaż czasy postępów:,显示进度倒计时:,顯示進度倒數:,,
day_frame_paused,Complete the current quest first to move on to the next day.,Bir sonraki güne geçmek için önce mevcut görevi tamamlayın.,"Beende die Aktive Aufgabe, um den nächsten Tag zu beginnen.","Завершите текущий квест, чтобы перейти на следующий день.",Termine la tarea actual antes de pasar al próximo día.,Termine a tarefa atual antes de passar para o próximo dia.,Completa la missione corrente per progredire al prossimo giorno.,Completez la quête actuelle avant de passer au jour suivant.,"Najpierw ukończ bieżące zadanie, aby przejść do następnego dnia.",完成当前的任务才能继续到明天。,完成目前的任務才能繼續到明天。,,
search_bar,Search Bar,Arama Çubuğu,Suchleiste,Поисковая строка,Barra de Búsqueda,Barra de pesquisa,Barra di Ricerca,Barre de Recherche,Pasek Wyszukiwania,搜索,搜尋欄,,
search_bar_desc,Click and type to filter market items.,Tıklayın ve ardından market listesini filtrelemek için yazmaya başlayın.,Klicke und schreibe um Produkte zu filtern.,Нажмите и введите текст для фильтрации предметов на рынке.,Haga clic y escriba para filtrar los ítems del mercado.,Clique e digite para filtrar os itens do mercado.,Clicca e digita per filtrare gli oggetti del mercato.,Cliquez et tapez pour filtrer les articles du marché.,"Kliknij i wpisz, aby filtrować przedmioty na rynku.",输入想要搜索的物品,按一下並鍵入以過濾市場項目。,,
clear_search,Clear Search,Aramayı Temizle,Lösche Suche,Очистить поиск,Limpiar Búsqueda,Limpar Busca,Cancella Ricerca,Effacer la Recherche,Wyczyść Wyszukiwanie,清除,清除搜尋,,
clear_search_desc,Click to clear search text.#(You can also use the ESC key.),Arama metnini temizlemek için tıklayın.#(ESC tuşunu da kullanabilirsiniz.),Klicke um Suche zu löschen.,"Нажмите, чтобы очистить текст поиска.",Haga clic para cancelar la búsqueda actual.,Clique para cancelar a busca atual.,Clicca per cancellare il testo di ricerca.,Cliquez pour effacer le texte de recherche.,"Kliknij, aby wyczyścić tekst wyszukiwania.",清除掉已输入的字,按一下可清除搜尋文字。,,
search,Search,Arama,Suchen,Поиск,Buscar,Buscar,Ricerca,Recherche,Szukaj,搜索,搜尋,,
recipes_tab,Recipes Tab,Tarifler Sekmesi,Rezept-Abteilung,Вкладка Рецепты,Pestaña Recetas,Aba de Receitas,Lista delle Ricette,Onglet Recettes,Zakładka Przepisy,配方列表,食譜選項卡,,
recipes_tab_desc,Click to open Recipes Tab. You can find here all recipes in the game.,Tarifler Sekmesini açmak için tıklayın. Burada oyundaki bütün tarifleri bulabilirsiniz.,"Klicke, um die Rezept-Abteilung zu öffnen. Mit dieser kannst du alle Rezepte im Spiel aufrufen.","Нажмите, чтобы открыть вкладку Рецепты. Здесь вы можете найти все рецепты в игре.",Haz clic para abrir el Tablón de Recetas. Aquí puedes encontrar todas las recetas del juego.,Clique para abrir a Aba de Receitas. Você pode encontrar todas as receitas do jogo aqui.,Clicca per aprire la Lista delle Ricette. Qui puoi trovare tutte le ricette del gioco.,Cliquez pour ouvrir l'Onglet Recettes. Vous pouvez trouver ici toutes les recettes du jeu.,"Kliknij, aby otworzyć zakładkę Przepisy. Znajdziesz tu wszystkie przepisy dostępne w grze.",点击来打开配方列表。您可以查看所有的配方。,按一下以開啟“食譜”標籤。您可以在這裡找到遊戲中的所有食譜。,,
recipes_tab_name,RECIPES,TARİFLER,REZEPTE,РЕЦЕПТЫ,RECETAS,RECEITAS,RICETTE,RECETTES,PRZEPISY,配方列表,食譜,,
recipe,RECIPE,TARİF,REZEPT,РЕЦЕПТ,RECETA,RECEITA,RICETTA,RECETTE,PRZEPIS,配方,食譜,,
unknown_recipe,UNKNOWN RECIPE,BİLİNMEYEN TARİF,UNBEKANNTES REZEPT,НЕИЗВЕСТНЫЙ РЕЦЕПТ,RECETA DESCONOCIDA,RECEITA DESCONHECIDA,RICETTA SCONOSCIUTA,RECETTE INCONNUE,NIEZNANY PRZEPIS,无知配方,未知食譜,,
q_farm_area,Farm Area,Çiftlik Alanı,Bauernhof Gebiet,Фермерская зона,Área de la Granja,Área de Fazenda,Area della Fattoria,Zone de Ferme,Obszar Farmy,农场大小,農場區域,,
q_farm_area_2,Farm Area II,Çiftlik Alanı II,Bauernhof Gebiet II,Фермерская зона II,Área de la Granja II,Área de Fazenda II,Area della Fattoria II,Zone de Ferme II,Obszar Farmy II,农场大小 2,農場區域 2,,
q_farm_area_3,Farm Area III,Çiftlik Alanı III,Bauernhof Gebiet III,Фермерская зона III,Área de la Granja III,Área de Fazenda III,Area della Fattoria III,Zone de Ferme III,Obszar Farmy III,农场大小 3,農場區域 3,,
q_farm_area_desc,Buy Farm Area from the market to expand your farm area.,Çiftlik alanınızı büyütmek için marketten Çiftlik Alanı satın alın.,"Kaufe dir Bauernhof Gebiet vom Markt, um dein Bauernhof Gebiet zu erhöhen.","Купите фермерскую зону на рынке, чтобы расширить свою ферму.",Compra el Área de la Granja en el mercado para expandir tu área de granja.,Compre mais Área de Fazenda no mercado para expandir sua fazenda.,Compra l'Area della Fattoria dal mercato per ampliare l'area della tua fattoria.,Achetez la Zone de Ferme sur le marché pour agrandir votre zone de ferme.,"Kup Obszar Farmy na rynku, aby rozszerzyć swój obszar farmy.",从商场里购买“农场大小”来扩大您的农场。,從市場購買農場面積以擴大您的農場面積。,,
farm_area_desc,All you need to expand your Farm Area.,Çiftlik Alanınızı genişletmek için ihtiyacınız olan tek şey.,"Alles was du brauchst, um dein Bauernhof Gebiet zu erhöhen.","Все, что вам нужно для расширения фермерской зоны.",Todo lo que necesitas para expandir tu Área de la Granja.,Tudo o que precisa para expandir sua fazenda.,Tutto quello che serve per espandere l'Area della tua Fattoria.,Tout ce dont vous avez besoin pour agrandir votre Zone de Ferme.,"Wszystko, czego potrzebujesz, aby rozszerzyć swój Obszar Farmy.",用来扩大您的农场。,擴大農場面積所需的一切。,,
name_tag,Name Tag,İsim Etiketi,Namensschild,Именная метка,Etiqueta de nombre,Etiqueta,Targhetta del Nome,Étiquette de Nom,Etykieta z Imieniem,名称标签,名稱標籤,,
name_tag_desc,Drag it over your sheep to give it a name.,Bir isim vermek için koyununuzun üzerine sürükleyin.,Ziehe es über einer deiner Schäfchen um es einen Namen zu geben.,"Перетащите его на свою овцу, чтобы дать ей имя.",Arrástralo sobre tu oveja para darle un nombre.,Use em uma ovelha para mudar seu nome.,Trascinala sopra una pecora per darle un nome.,Faites-la glisser sur votre mouton pour lui donner un nom.,"Przeciągnij ją na swoją owcę, aby nadać jej imię.",用它来命名您的小羊。,將它拖到你的綿羊上以命名。,,
screen_shake,Screen Shake Effect:,Ekran Sarsıntı Efekti:,Bildschirm Schüttel Effekt:,Эффект встряски экрана:,Efecto de Sacudida de Pantalla:,Efeito de tremor de tela:,Scuotimento Schermo:,Effet de Tremblement d'Écran:,Efekt Wstrząsu Ekranu:,屏幕震动：,畫面震動效果：,,
white_flash,White Flash Effect:,Beyaz Flaş Efekti:,Weißer Blitz Effekt:,Эффект белой вспышки:,Efecto de Destello Blanco:,Efeito de flash branco:,Flash Bianco:,Effet de Flash Blanc:,Efekt Białego Błysku:,屏幕闪光：,白色閃光效果：,,
no_farm_area,You cannot buy more Farm Area!,Daha fazla Çiftlik Alanı satın alamazsınız!,Du kannst kein Bauernhof Gebiet mehr kaufen!,Вы не можете купить больше фермерской зоны!,¡No puedes comprar más Área de la Granja!,Você não pode comprar mais Área de Fazenda!,Non puoi più anpliare l'Area della Fattoria!,Vous ne pouvez pas acheter plus de Zone de Ferme!,Nie możesz kupić więcej Obszaru Farmy!,无法扩大农场了！,你不能再購買更多的農場區域！,,
settings_button,Settings,Ayarlar,Einstellungen,Настройки,Configuración,Configurações,Impostazioni,Paramètres,Ustawienia,设置,設置,,
quit_game,Quit Game,Oyunu Kapat,Spiel Verlassen,Выйти из игры,Salir del Juego,Sair do jogo,Esci dal Gioco,Quitter le Jeu,Zakończ Grę,退出游戏,退出遊戲,,
quit_game_desc,Click to exit the game.,Oyundan çıkmak için tıklayın.,"Klicke, um das Spiel zu verlassen.","Нажмите, чтобы выйти из игры.",Haz clic para salir del juego.,Clique para sair do jogo.,Fai clic per uscire dal gioco.,Cliquez pour quitter le jeu.,"Kliknij, aby wyjść z gry.",点击来退出游戏。,點擊以退出遊戲。,,
quit_confirmation,Are you sure you want to quit?,Oyundan çıkmak istediğinizden emin misiniz?,"Bist du dir Sicher, dass du das Spiel verlassen möchtest?","Вы уверены, что хотите выйти?",¿Estás seguro de que quieres salir?,Você tem certeza que quer sair do jogo?,Sei sicuro di voler uscire?,Êtes-vous sûr de vouloir quitter?,Czy na pewno chcesz zakończyć?,您确定要退出吗？,你確定要退出嗎？,,
rotten_carrot,Rotten Carrot,Çürük Havuç,Rotten Carrot,Rotten Carrot,Rotten Carrot,Rotten Carrot,Rotten Carrot,Rotten Carrot,Rotten Carrot,Rotten Carrot,Rotten Carrot,,
rotten_potato,Rotten Potato,Çürük Patates,Rotten Potato,Rotten Potato,Rotten Potato,Rotten Potato,Rotten Potato,Rotten Potato,Rotten Potato,Rotten Potato,Rotten Potato,,
rotten_tomato,Rotten Tomato,Çürük Domates,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,,
rotten_onion,Rotten Onion,Çürük Soğan,Rotten Onion,Rotten Onion,Rotten Onion,Rotten Onion,Rotten Onion,Rotten Onion,Rotten Onion,Rotten Onion,Rotten Onion,,
r_water_well,You can only have one.,Sadece bir tanesine sahip olabilirsiniz.,You can only have one.,You can only have one.,You can only have one.,You can only have one.,You can only have one.,You can only have one.,You can only have one.,You can only have one.,You can only have one.,,
r_buy_from_market,You can buy it from the market.,Marketten satın alabilirsiniz.,You can buy it from the market.,You can buy it from the market.,You can buy it from the market.,You can buy it from the market.,You can buy it from the market.,You can buy it from the market.,You can buy it from the market.,You can buy it from the market.,You can buy it from the market.,,
r_sickness,Sickness,Hastalık,Sickness,Sickness,Sickness,Sickness,Sickness,Sickness,Sickness,Sickness,Sickness,,
r_hunger,Hunger,Açlık,Hunger,Hunger,Hunger,Hunger,Hunger,Hunger,Hunger,Hunger,Hunger,,
r_sell_area,It can be earned by selling assets to the Sell Area.,Varlıkları Satış Alanına satarak kazanılabilir.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,It can be earned by selling assets to the Sell Area.,,[LLVM-OPERAGX]
EMSDKDir="D:\Git\emsdk/emsdk.bat"
[OperaGX]
DisplayName="Hello"
NewDebugger=0
ProjectGuid="dad0bdb6-b824-47a8-9c6d-94accc94b589"
Splash="splash.png"
